ID,group,percent_oxa_cfos
620,treatment,0.38461538461538464
621,control,0.6349206349206349
622,treatment,0.10676156583629894
623,control,0.6428571428571429
624,treatment,0.6726190476190477
625,control,0.8067226890756303
628,control,0.7183098591549296
