ID,group,percent_oxa_cfos_rb
620,treatment,0.07692307692307693
621,control,0.07936507936507936
622,treatment,0.014234875444839857
623,control,0.17857142857142858
624,treatment,0.375
625,control,0.18487394957983194
628,control,0.14084507042253522
