ID,group,channel,integrated_density
624,treatment,cfos,67.794779
624,treatment,cfos,91.79970800000001
624,treatment,cfos,146.180636
624,treatment,cfos,99.25492
624,treatment,cfos,80.54437
624,treatment,cfos,106.31314400000001
624,treatment,cfos,103.61972300000001
624,treatment,cfos,100.23737
624,treatment,cfos,94.48131000000001
624,treatment,cfos,36.181913
624,treatment,cfos,37.681706999999996
624,treatment,cfos,136.42141800000002
624,treatment,cfos,76.41441599999999
624,treatment,cfos,114.178147
624,treatment,cfos,140.375662
624,treatment,cfos,95.10108
624,treatment,cfos,83.63432200000001
624,treatment,cfos,105.159632
624,treatment,cfos,117.982171
624,treatment,cfos,107.96924899999999
624,treatment,cfos,87.51459600000001
624,treatment,cfos,95.136444
624,treatment,cfos,51.760752000000004
624,treatment,cfos,89.13166
624,treatment,cfos,67.268682
624,treatment,cfos,135.786825
624,treatment,cfos,87.23999
624,treatment,cfos,115.871184
624,treatment,cfos,87.386076
624,treatment,cfos,55.594995000000004
624,treatment,cfos,54.644439999999996
624,treatment,cfos,108.555164
624,treatment,cfos,77.117928
624,treatment,cfos,92.138214
624,treatment,cfos,84.679941
624,treatment,cfos,80.720018
624,treatment,cfos,133.78575600000002
624,treatment,cfos,113.674344
624,treatment,cfos,100.67621000000001
624,treatment,cfos,102.75380999999999
624,treatment,cfos,91.375752
624,treatment,cfos,62.477821000000006
624,treatment,cfos,84.704624
624,treatment,cfos,66.79029
624,treatment,cfos,68.70947199999999
624,treatment,cfos,60.005554
624,treatment,cfos,53.587418
624,treatment,cfos,98.70201
624,treatment,cfos,63.950531999999995
624,treatment,cfos,91.864305
624,treatment,cfos,75.896849
624,treatment,cfos,147.28744400000002
624,treatment,cfos,107.2708
624,treatment,cfos,100.207422
624,treatment,cfos,79.3584
624,treatment,cfos,102.27852000000001
624,treatment,cfos,108.10879800000001
624,treatment,cfos,134.22532500000003
625,control,cfos,29.873168
625,control,cfos,61.430488
625,control,cfos,69.663456
625,control,cfos,87.81824
625,control,cfos,55.21608000000001
625,control,cfos,230.48806
625,control,cfos,163.240745
625,control,cfos,179.056746
625,control,cfos,105.28698000000001
625,control,cfos,58.27392
625,control,cfos,120.31813
625,control,cfos,45.65054799999999
625,control,cfos,143.64272
625,control,cfos,160.22592
625,control,cfos,154.368045
625,control,cfos,60.12419
625,control,cfos,123.01952400000002
625,control,cfos,77.949519
625,control,cfos,101.92262
625,control,cfos,75.22468599999999
625,control,cfos,139.503096
625,control,cfos,121.60312
625,control,cfos,87.589105
625,control,cfos,128.29696
625,control,cfos,208.01088000000001
625,control,cfos,208.01088000000001
625,control,cfos,180.542278
625,control,cfos,76.08436199999998
625,control,cfos,62.16938400000001
625,control,cfos,62.16938400000001
625,control,cfos,65.705456
625,control,cfos,85.229028
625,control,cfos,75.759057
625,control,cfos,122.05612799999999
625,control,cfos,66.760672
625,control,cfos,69.010266
625,control,cfos,100.009383
625,control,cfos,76.990914
625,control,cfos,103.07699999999998
625,control,cfos,84.01735
625,control,cfos,71.46562300000001
625,control,cfos,88.95942900000001
625,control,cfos,88.95942900000001
625,control,cfos,85.95453
625,control,cfos,100.586634
625,control,cfos,55.15026000000001
625,control,cfos,256.01324
625,control,cfos,90.6912
625,control,cfos,162.31498200000001
625,control,cfos,162.31498200000001
625,control,cfos,96.51297
625,control,cfos,259.025549
625,control,cfos,107.79369
625,control,cfos,127.37167799999999
625,control,cfos,110.34466200000001
625,control,cfos,82.955273
625,control,cfos,162.565104
625,control,cfos,168.097881
625,control,cfos,223.058628
625,control,cfos,223.058628
625,control,cfos,138.81036
625,control,cfos,153.892992
625,control,cfos,112.74806099999999
625,control,cfos,112.74806099999999
625,control,cfos,145.63539
625,control,cfos,145.63539
625,control,cfos,83.72812200000001
625,control,cfos,188.700655
625,control,cfos,69.188462
625,control,cfos,170.29094600000002
625,control,cfos,194.74097999999998
625,control,cfos,194.74097999999998
625,control,cfos,156.584457
625,control,cfos,237.489
625,control,cfos,74.045439
625,control,cfos,102.054264
625,control,cfos,125.09736300000002
625,control,cfos,125.09736300000002
625,control,cfos,161.49251999999998
625,control,cfos,126.58176
625,control,cfos,153.55884799999998
625,control,cfos,103.580592
625,control,cfos,173.215251
625,control,cfos,65.74643
625,control,cfos,65.74643
625,control,cfos,125.54775
625,control,cfos,77.465924
625,control,cfos,100.33083
625,control,cfos,118.00576
625,control,cfos,118.00576
625,control,cfos,183.65831999999997
625,control,cfos,183.65831999999997
